transferOrdNo,quantity,woNumber,franchise,product,uom
TO1,51,WO1,ab,6LM8T,pcs
TO1,45,WO2,ed,0JQJK,pcs
TO1,71,WO3,ed,OVKRZ,pcs
TO2,36,WO4,bc,36FMF,pcs
TO2,8,WO5,ab,KVLQW,kg
TO2,78,WO6,cd,QO1VX,kg
TO3,93,WO7,ab,ZU2OP,kg
TO3,95,WO8,bc,WPBRC,kg
TO3,53,WO9,ed,VYCS3,kg
TO4,48,WO10,ed,Y00Y6,ltr
TO5,30,WO11,bc,FUC2T,kg
TO5,47,WO12,cd,RXVQJ,kg
TO5,47,WO13,ab,ELYAD,pcs
TO6,29,WO14,ed,IHTRB,pcs
TO7,34,WO15,ed,MYPQW,ltr
TO7,34,WO16,ab,DMSN1,pcs
TO8,96,WO17,cd,G3N9A,ltr
TO9,73,WO18,cd,R8I7O,kg
TO9,70,WO19,bc,G3N9A,pcs
TO9,67,WO20,ed,3V7UV,kg
TO9,99,WO21,cd,Q397M,pcs
TO10,17,WO22,ed,AUGMP,ltr
TO10,24,WO23,bc,DEBGB,ltr
TO10,49,WO24,cd,E7ZIY,ltr
TO11,98,WO25,bc,0MF35,kg
TO12,33,WO26,ab,SRJJQ,pcs
TO12,34,WO27,cd,SUVL9,pcs
TO12,14,WO28,bc,7HS6J,kg
TO12,18,WO29,bc,IQZUP,ltr
TO13,67,WO30,bc,36FMF,pcs
TO13,58,WO31,ed,2F0NY,kg
TO13,24,WO32,ab,9CNHA,kg
TO14,86,WO33,ab,JDL7G,kg
TO14,39,WO34,ed,K2M0E,kg
TO14,87,WO35,ab,36FMF,pcs
TO14,26,WO36,bc,WY18P,ltr
TO15,25,WO37,bc,E0BEP,ltr
TO15,65,WO38,ed,BDX3G,kg
TO16,21,WO39,bc,81LLE,ltr
TO16,79,WO40,ed,KJZQP,ltr
TO16,20,WO41,cd,89LBB,pcs
TO17,36,WO42,bc,CEC2Z,pcs
TO17,1,WO43,cd,2US5G,kg
TO18,73,WO44,cd,HGD14,pcs
TO18,85,WO45,ed,WPBRC,kg
TO18,47,WO46,ed,PIAWZ,ltr
TO19,82,WO47,cd,Y3Y1H,pcs
TO19,81,WO48,ed,6Q2PM,pcs
TO19,83,WO49,bc,J1B00,ltr
TO19,6,WO50,cd,08XXU,pcs
TO20,50,WO51,cd,9KJEC,ltr
TO21,41,WO52,ab,8H8NY,ltr
TO21,18,WO53,cd,KQU9J,pcs
TO22,19,WO54,ab,QTRT4,pcs
TO22,66,WO55,bc,BHRTP,pcs
TO23,23,WO56,bc,Z3GYB,kg
TO24,58,WO57,ed,T32IU,pcs
TO24,80,WO58,ed,1W8N5,kg
TO24,62,WO59,cd,KP94Y,ltr
TO24,84,WO60,cd,ZADVC,ltr
TO25,70,WO61,bc,WWLQ0,pcs
TO25,82,WO62,cd,0HGAX,ltr
TO26,25,WO63,bc,QM4BI,kg
TO26,60,WO64,ed,Z7J64,kg
TO27,88,WO65,cd,WN4JT,ltr
TO28,25,WO66,bc,RNHXY,kg
TO28,94,WO67,ab,8L0D1,kg
