transferOrdNo,woNumber,time_taken_to_complete_order,workers_needed
TO1,WO1,212,1
TO1,WO2,202,2
TO1,WO3,192,10
TO2,WO4,32,7
TO2,WO5,31,9
TO2,WO6,358,10
TO3,WO7,292,5
TO3,WO8,173,5
TO3,WO9,308,6
TO4,WO10,93,9
TO5,WO11,202,9
TO5,WO12,326,2
TO5,WO13,52,2
TO6,WO14,181,2
TO7,WO15,110,6
TO7,WO16,295,5
TO8,WO17,177,1
TO9,WO18,357,4
TO9,WO19,318,8
TO9,WO20,90,10
TO9,WO21,78,8
TO10,WO22,347,9
TO10,WO23,168,8
TO10,WO24,195,7
TO11,WO25,42,9
TO12,WO26,299,6
TO12,WO27,319,7
TO12,WO28,127,3
TO12,WO29,270,4
TO13,WO30,200,8
TO13,WO31,282,6
TO13,WO32,184,9
TO14,WO33,334,8
TO14,WO34,33,4
TO14,WO35,175,1
TO14,WO36,103,4
TO15,WO37,39,10
TO15,WO38,191,3
TO16,WO39,267,2
TO16,WO40,250,1
TO16,WO41,326,4
TO17,WO42,259,2
TO17,WO43,205,10
TO18,WO44,333,5
TO18,WO45,121,1
TO18,WO46,63,1
TO19,WO47,155,7
TO19,WO48,241,4
TO19,WO49,64,9
TO19,WO50,136,1
TO20,WO51,145,8
TO21,WO52,336,9
TO21,WO53,187,3
TO22,WO54,281,6
TO22,WO55,195,3
TO23,WO56,320,10
TO24,WO57,257,7
TO24,WO58,341,5
TO24,WO59,284,5
TO24,WO60,32,1
TO25,WO61,290,6
TO25,WO62,145,10
TO26,WO63,214,5
TO26,WO64,339,10
TO27,WO65,223,3
TO28,WO66,241,5
TO28,WO67,357,5
TO28,WO68,337,8
TO28,WO69,137,10
TO29,WO70,133,5
TO29,WO71,168,5
TO29,WO72,88,2
TO29,WO73,183,9
TO30,WO74,308,9
TO30,WO75,133,6
TO31,WO76,333,4
TO31,WO77,137,10
TO31,WO78,194,8
TO32,WO79,334,9
TO32,WO80,152,10
TO33,WO81,304,9
TO33,WO82,97,3
TO34,WO83,315,3
TO35,WO84,128,8
TO35,WO85,210,2
TO35,WO86,57,10
TO35,WO87,349,9
TO36,WO88,250,4
TO36,WO89,216,8
TO37,WO90,128,4
TO38,WO91,324,4
TO38,WO92,115,6
TO38,WO93,219,8
TO38,WO94,357,4
TO39,WO95,156,8
TO39,WO96,242,5
TO39,WO97,304,7
TO39,WO98,32,8
TO40,WO99,265,3
TO40,WO100,211,10
TO41,WO101,186,5
TO42,WO102,311,4
TO43,WO103,81,6
TO43,WO104,221,8
TO43,WO105,212,1
TO43,WO106,68,8
TO44,WO107,269,5
TO44,WO108,198,4
TO44,WO109,175,3
TO44,WO110,109,1
TO45,WO111,237,9
TO46,WO112,303,2
TO47,WO113,297,4
TO47,WO114,256,7
TO47,WO115,234,2
TO47,WO116,356,3
TO48,WO117,233,8
TO49,WO118,245,6
TO50,WO119,164,7
TO50,WO120,87,8
TO50,WO121,206,8
TO50,WO122,270,4
TO51,WO123,216,3
TO51,WO124,313,10
TO52,WO125,144,7
TO52,WO126,106,2
TO53,WO127,142,2
TO54,WO128,99,8
TO54,WO129,333,7
TO54,WO130,334,3
TO55,WO131,334,10
TO56,WO132,45,8
TO56,WO133,347,1
TO57,WO134,183,6
TO57,WO135,243,4
TO57,WO136,71,8
TO58,WO137,284,3
TO59,WO138,252,7
TO59,WO139,300,3
TO59,WO140,204,3
TO60,WO141,212,3
TO60,WO142,144,3
TO60,WO143,274,7
TO60,WO144,67,6
TO61,WO145,120,3
TO61,WO146,174,8
TO61,WO147,159,5
TO61,WO148,143,7
TO62,WO149,224,4
TO62,WO150,197,8
TO62,WO151,61,7
TO63,WO152,225,6
TO64,WO153,281,9
TO64,WO154,216,7
TO64,WO155,162,9
TO65,WO156,290,2
TO65,WO157,312,5
TO65,WO158,185,1
TO66,WO159,143,4
TO66,WO160,150,7
TO66,WO161,71,8
TO66,WO162,229,9
TO67,WO163,338,5
TO67,WO164,47,10
TO68,WO165,256,2
TO68,WO166,89,8
TO68,WO167,120,6
TO69,WO168,315,1
TO69,WO169,332,6
TO69,WO170,301,9
TO69,WO171,90,8
TO70,WO172,149,6
TO71,WO173,108,3
TO71,WO174,206,7
TO71,WO175,254,5
TO71,WO176,360,8
TO72,WO177,325,3
TO73,WO178,295,2
TO74,WO179,216,7
TO74,WO180,324,6
TO74,WO181,341,3
TO74,WO182,358,7
TO75,WO183,265,5
TO76,WO184,277,4
TO76,WO185,327,4
TO77,WO186,337,2
TO77,WO187,347,4
TO77,WO188,73,7
TO77,WO189,99,1
TO78,WO190,79,6
TO78,WO191,38,3
TO79,WO192,112,9
TO79,WO193,154,3
TO79,WO194,319,6
TO79,WO195,168,9
TO80,WO196,184,8
TO81,WO197,266,4
TO81,WO198,261,1
TO81,WO199,226,7
TO81,WO200,272,7
TO82,WO201,250,7
TO83,WO202,37,1
TO83,WO203,197,10
TO83,WO204,137,10
TO83,WO205,283,2
TO84,WO206,345,8
TO84,WO207,306,8
TO84,WO208,43,1
TO84,WO209,207,9
TO85,WO210,155,6
TO86,WO211,320,9
TO86,WO212,233,3
TO86,WO213,215,6
TO87,WO214,32,5
TO87,WO215,159,7
TO88,WO216,41,6
TO89,WO217,335,10
TO90,WO218,35,3
