transferOrdNo,quantity,woNumber,franchise,product,uom
TO1,14,WO1,cd,D1M6X,ltr
TO1,44,WO2,ab,OWRAJ,pcs
TO1,52,WO3,bc,ECR0E,ltr
TO2,38,WO4,cd,GXSAS,kg
TO2,54,WO5,bc,NVYBQ,kg
TO2,67,WO6,cd,WT0EN,kg
TO2,46,WO7,ed,6EFUP,ltr
TO3,84,WO8,bc,G7BAB,ltr
TO3,15,WO9,ab,3C4OE,ltr
TO3,29,WO10,cd,SMY65,ltr
TO4,66,WO11,bc,FP6JJ,ltr
TO4,67,WO12,ab,3O5RT,kg
TO4,53,WO13,ab,3GD70,ltr
TO5,39,WO14,ab,34CD7,pcs
TO5,69,WO15,bc,DN0FG,kg
TO6,98,WO16,cd,1T4J6,kg
TO6,78,WO17,bc,66JMD,ltr
TO6,84,WO18,ed,ATSCW,kg
TO6,99,WO19,cd,XJ0QX,kg
TO7,35,WO20,ed,A123O,kg
TO7,74,WO21,bc,K16E7,pcs
TO8,87,WO22,ab,NQKBG,ltr
TO8,81,WO23,bc,ZT3PU,ltr
TO8,50,WO24,cd,03I0T,ltr
TO9,18,WO25,ed,VCAPU,ltr
TO9,28,WO26,ed,JR8OY,kg
TO9,1,WO27,cd,K3UVC,kg
TO10,78,WO28,cd,6EFUP,pcs
TO10,83,WO29,ed,6DC05,kg
TO10,48,WO30,ab,0LB8I,kg
TO10,49,WO31,ab,KE3FA,kg
TO11,68,WO32,ab,B6H6R,kg
TO11,2,WO33,bc,H8QC6,ltr
TO11,50,WO34,bc,8YIVB,pcs
TO12,83,WO35,ab,3YUEU,kg
TO12,65,WO36,cd,GMY0G,ltr
TO12,44,WO37,bc,OOV1Q,kg
TO13,67,WO38,ed,1RRNB,kg
TO13,32,WO39,ab,NHVVB,pcs
TO13,92,WO40,ab,AI4HK,pcs
TO14,65,WO41,ab,6CA0X,pcs
TO14,31,WO42,bc,72K2D,pcs
TO14,26,WO43,ed,9HYJN,ltr
TO15,55,WO44,cd,PKQ8A,ltr
TO15,86,WO45,ab,YWFJE,ltr
TO15,2,WO46,ab,JR66Y,ltr
TO16,11,WO47,cd,HBCF1,pcs
TO16,51,WO48,ab,UNUY5,ltr
TO17,90,WO49,cd,EVCXC,pcs
TO17,47,WO50,cd,87Q60,pcs
TO18,94,WO51,bc,Q4AGR,ltr
TO19,75,WO52,bc,C0YG9,ltr
TO19,38,WO53,ab,YEZY6,pcs
TO19,90,WO54,ab,6CA0X,pcs
TO20,31,WO55,ed,Y9QWI,pcs
TO20,74,WO56,ab,GYJ03,ltr
TO20,95,WO57,ab,8IYVT,ltr
TO20,66,WO58,cd,OSFB4,ltr
TO21,71,WO59,bc,AQ083,ltr
TO22,90,WO60,ed,5W8QL,kg
TO22,91,WO61,cd,FCB9H,ltr
TO22,32,WO62,bc,G3VXA,pcs
TO22,79,WO63,cd,TVQU2,ltr
TO23,1,WO64,ab,W62WD,ltr
TO23,77,WO65,cd,9UT4J,kg
TO23,69,WO66,ed,CSV10,pcs
TO24,71,WO67,cd,YYTAT,ltr
TO24,41,WO68,ab,LFX9P,pcs
TO24,72,WO69,cd,XZIN1,kg
TO25,4,WO70,ab,FAHSJ,kg
TO25,63,WO71,ab,IJR2E,pcs
TO25,35,WO72,cd,29DJ4,pcs
TO25,88,WO73,ed,5X7CN,ltr
TO26,45,WO74,cd,MWYNL,pcs
TO26,1,WO75,ab,2FDTG,ltr
TO26,16,WO76,cd,UGNDX,ltr
TO27,13,WO77,cd,HBQHO,kg
TO27,67,WO78,ed,VWDX4,pcs
TO28,56,WO79,bc,GRM6O,kg
TO29,78,WO80,ab,SMY65,ltr
TO29,28,WO81,cd,H9G8V,kg
TO29,42,WO82,ed,6VB13,ltr
TO30,3,WO83,ab,FRDYN,pcs
TO31,52,WO84,bc,JINWP,ltr
TO31,62,WO85,ed,2IC5M,kg
TO32,36,WO86,cd,UL2AV,kg
TO32,75,WO87,cd,L5ZRA,ltr
TO32,9,WO88,ab,0O40W,ltr
TO32,64,WO89,ed,16L2I,kg
TO33,18,WO90,bc,NCS7U,ltr
TO34,96,WO91,ab,7YDM9,ltr
TO34,70,WO92,cd,DE0P1,ltr
TO34,34,WO93,cd,VR2BH,kg
TO34,34,WO94,ed,WAJBE,ltr
TO35,50,WO95,ed,E8KN5,pcs
TO35,60,WO96,ed,76DNY,kg
TO35,65,WO97,bc,F2XT9,pcs
TO35,65,WO98,ed,KTWZR,kg
TO36,15,WO99,ab,JBV17,pcs
TO36,52,WO100,ab,2UB94,kg
TO37,87,WO101,bc,EWVKK,pcs
TO37,86,WO102,cd,7ZV6C,ltr
TO38,89,WO103,ed,OCB5T,kg
TO38,95,WO104,cd,ZIH31,kg
TO38,29,WO105,ab,28ESN,pcs
TO39,1,WO106,cd,GRM6O,pcs
TO39,20,WO107,bc,1ASAD,pcs
TO39,93,WO108,cd,JBWDD,pcs
TO39,23,WO109,cd,EN29F,ltr
TO40,44,WO110,cd,G3VXA,pcs
TO41,91,WO111,cd,09B8J,pcs
TO41,67,WO112,cd,2RJ9V,kg
TO41,35,WO113,bc,S6J9V,kg
