transferOrdNo,woNumber,time_taken_to_complete_order,workers_needed
TO1,WO1,168,3
TO1,WO2,224,1
TO1,WO3,98,9
TO2,WO4,302,4
TO2,WO5,36,2
TO2,WO6,120,10
TO2,WO7,95,7
TO3,WO8,357,5
TO3,WO9,121,7
TO3,WO10,86,9
TO4,WO11,48,1
TO4,WO12,293,5
TO4,WO13,63,10
TO5,WO14,61,2
TO5,WO15,232,6
TO6,WO16,107,8
TO6,WO17,226,9
TO6,WO18,352,10
TO6,WO19,152,4
TO7,WO20,58,9
TO7,WO21,95,8
TO8,WO22,34,10
TO8,WO23,194,9
TO8,WO24,61,1
TO9,WO25,158,8
TO9,WO26,172,7
TO9,WO27,292,3
TO10,WO28,271,7
TO10,WO29,66,9
TO10,WO30,158,1
TO10,WO31,235,5
TO11,WO32,31,6
TO11,WO33,171,4
TO11,WO34,94,8
TO12,WO35,355,5
TO12,WO36,219,7
TO12,WO37,100,4
TO13,WO38,42,2
TO13,WO39,107,8
TO13,WO40,35,10
TO14,WO41,302,5
TO14,WO42,80,3
TO14,WO43,157,1
TO15,WO44,294,5
TO15,WO45,260,6
TO15,WO46,339,9
TO16,WO47,38,7
TO16,WO48,256,6
TO17,WO49,130,9
TO17,WO50,252,7
TO18,WO51,110,3
TO19,WO52,167,9
TO19,WO53,89,5
TO19,WO54,82,3
TO20,WO55,58,4
TO20,WO56,96,2
TO20,WO57,128,9
TO20,WO58,219,10
TO21,WO59,212,1
TO22,WO60,61,10
TO22,WO61,298,4
TO22,WO62,353,7
TO22,WO63,122,3
TO23,WO64,31,10
TO23,WO65,91,5
TO23,WO66,150,8
TO24,WO67,236,4
TO24,WO68,168,10
TO24,WO69,76,5
TO25,WO70,258,9
TO25,WO71,75,1
TO25,WO72,141,1
TO25,WO73,31,2
TO26,WO74,46,5
TO26,WO75,157,1
TO26,WO76,128,7
TO27,WO77,122,4
TO27,WO78,306,7
TO28,WO79,255,6
TO29,WO80,172,4
TO29,WO81,30,9
TO29,WO82,338,8
TO30,WO83,185,9
TO31,WO84,171,7
TO31,WO85,133,4
TO32,WO86,302,6
TO32,WO87,90,3
TO32,WO88,120,5
TO32,WO89,171,10
TO33,WO90,225,2
TO34,WO91,321,1
TO34,WO92,71,1
TO34,WO93,80,3
TO34,WO94,114,6
TO35,WO95,63,7
TO35,WO96,256,6
TO35,WO97,110,6
TO35,WO98,197,7
TO36,WO99,70,1
TO36,WO100,153,10
TO37,WO101,53,4
TO37,WO102,36,6
TO38,WO103,315,2
TO38,WO104,54,8
TO38,WO105,164,9
TO39,WO106,103,4
TO39,WO107,148,7
TO39,WO108,358,7
TO39,WO109,38,6
TO40,WO110,155,6
TO41,WO111,165,7
TO41,WO112,51,8
TO41,WO113,231,3
TO41,WO114,53,1
TO42,WO115,43,3
TO42,WO116,350,8
TO42,WO117,276,4
TO42,WO118,341,7
TO43,WO119,219,3
TO44,WO120,128,6
TO44,WO121,310,1
TO44,WO122,305,2
TO44,WO123,233,8
TO45,WO124,214,8
TO45,WO125,143,9
TO45,WO126,107,2
TO45,WO127,221,9
TO46,WO128,214,5
TO47,WO129,103,9
TO48,WO130,184,6
TO48,WO131,158,9
TO48,WO132,219,5
TO48,WO133,38,5
TO49,WO134,313,1
TO50,WO135,80,5
TO50,WO136,273,8
TO50,WO137,299,3
TO50,WO138,134,5
TO51,WO139,271,5
TO51,WO140,221,9
TO51,WO141,308,3
TO51,WO142,30,4
TO52,WO143,59,1
TO53,WO144,196,1
TO53,WO145,35,3
TO54,WO146,169,5
TO54,WO147,169,9
TO55,WO148,172,4
TO55,WO149,276,3
TO55,WO150,252,9
TO56,WO151,46,9
TO57,WO152,35,5
TO57,WO153,308,6
TO58,WO154,119,5
TO58,WO155,41,5
TO59,WO156,98,2
TO60,WO157,318,1
TO60,WO158,35,1
TO60,WO159,107,6
TO60,WO160,181,4
TO61,WO161,68,5
TO62,WO162,64,4
TO62,WO163,51,8
TO62,WO164,280,7
TO63,WO165,30,3
TO63,WO166,278,3
